,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,Previous Week Quantity,Total Quantity_x,Previous Week Total Quantity_x,Total Quantity_y,Previous Week Total Quantity_y,UPC,Price Change %,modifiedUPC,Dollar Change
5436,3/7/2024 to 3/13/2024,GOYA BROWN RICE 2 LBS,0004133102612,ARROZ,69.0,2024-03-07,,69.0,,,774092.0,,774092.0,,4133102612,,0004133102612,
5441,3/7/2024 to 3/13/2024,CANILLA ARROZ PARBOILED DORADO 3 LBS,0004133102628,ARROZ,25.0,2024-03-07,,25.0,,,774092.0,,774092.0,,4133102628,,0004133102628,
5444,3/7/2024 to 3/13/2024,CANILLA ARROZ DORADO PARBOILED 5LB,0004133102629,ARROZ,30.0,2024-03-07,,30.0,,,774092.0,,774092.0,,,,,
5448,3/7/2024 to 3/13/2024,CANILLA ARROZ DORADO PARB 10 LBS,0004133102630,ARROZ,10.0,2024-03-07,,10.0,,,774092.0,,774092.0,,,,,
5451,3/7/2024 to 3/13/2024,GOYA ARROZ INTEGRAL ORGANICO 2 LBS,0004133102611,ARROZ,6.0,2024-03-07,,6.0,,,774092.0,,774092.0,,,,,
5764,3/7/2024 to 3/13/2024,GOYA QUINOA BLEND BLACK BEANS 6 OZ,0004133102674,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5834,3/7/2024 to 3/13/2024,GOYA ARROZ HABICHUELA COLORADA 8 OZ,0004133102666,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5837,3/7/2024 to 3/13/2024,GOYA ARROZ CURRY  8 OZ,0004133102668,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
5841,3/7/2024 to 3/13/2024,GOYA QUINOA BLEND PEPP/PEA/GARL 16OZ,0004133102672,ARROZ,4.0,2024-03-07,,4.0,,,774092.0,,774092.0,,,,,
5843,3/7/2024 to 3/13/2024,GOYA QUINOA BLEND W/RICE CARROT 6 OZ,0004133102680,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
6090,3/7/2024 to 3/13/2024,RICO ARROZ GRANO LARGO 2 LBS,0074370900379,ARROZ,13.0,2024-03-07,,13.0,,,774092.0,,774092.0,,,,,
6093,3/7/2024 to 3/13/2024,RICO ARROZ MEDIANO 5 LB,0074370900511,ARROZ,27.0,2024-03-07,,27.0,,,774092.0,,774092.0,,74370900511,,0074370900511,
6145,3/7/2024 to 3/13/2024,RICO ARROZ GRANO MEDIANO 2 LBS,0074370900311,ARROZ,44.0,2024-03-07,,44.0,,,774092.0,,774092.0,,74370900311,,0074370900311,
6348,3/7/2024 to 3/13/2024,ROLAND LEMON CURRY QUINOA 5.46 OZ,0004122472174,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
6352,3/7/2024 to 3/13/2024,ROLAND RISOTTO VEG PRIMAVERA 5.8 OZ,0004122472020,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
6353,3/7/2024 to 3/13/2024,ROLAND RED ANDEAN QUINOA 12 OZ,0004122472176,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
6612,3/7/2024 to 3/13/2024,ROLAND BLACK QUINOA 12 OZ,0004122472186,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
6618,3/7/2024 to 3/13/2024,ROLAND MEDITERRANEAN QUINOA 5.46 OZ,0004122472194,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
6622,3/7/2024 to 3/13/2024,ROLAND GARDEN VEG QUINOA 5.46 OZ,0004122472184,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
7497,3/7/2024 to 3/13/2024,RICELAND ARROZ INTEGRAL 1 LB,0003520026410,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
8354,3/7/2024 to 3/13/2024,ECONO MAC & CHEESE 4/2.05 OZ,0070893802296,ARROZ,38.0,2024-03-07,,38.0,,,774092.0,,774092.0,,,,,
8599,3/7/2024 to 3/13/2024,CARMENCITA PAELLERO .71 OZ,0070624108180,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
8621,3/7/2024 to 3/13/2024,ECONO ARROZ MEDIANO 3 LBS,0070893800214,ARROZ,16617.0,2024-03-07,,16617.0,,,774092.0,,774092.0,,,,,
8657,3/7/2024 to 3/13/2024,ECONO ARROZ GRANO LARGO 3 LBS,0070893800240,ARROZ,129.0,2024-03-07,,129.0,,,774092.0,,774092.0,,,,,
8707,3/7/2024 to 3/13/2024,ECONO ARROZ MEDIANO MOCHILA 17 LBS,0070893800220,ARROZ,105.0,2024-03-07,,105.0,,,774092.0,,774092.0,,,,,
8889,3/7/2024 to 3/13/2024,D AQUI ARROZ LARGO MOCHILA 17 LBS,0068356800025,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
9160,3/7/2024 to 3/13/2024,D AQUI ARROZ GRANO LARGO 3 LBS,0068356800021,ARROZ,1.0,2024-03-07,,1.0,,,774092.0,,774092.0,,,,,
9200,3/7/2024 to 3/13/2024,D AQUI ARROZ MEDIANO 17 LBS,0068356800005,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
12796,3/7/2024 to 3/13/2024,WELCHS GRAPE JUICE 100 % 10 OZ,0004180035400,JUGOS PET,741.0,2024-03-07,,741.0,,,774092.0,,774092.0,,4180035400,,0004180035400,
13326,3/7/2024 to 3/13/2024,WELCH'S GRAPE JUICE 100% 64 OZ,0004180020750,JUGOS PET,273.0,2024-03-07,,273.0,,,774092.0,,774092.0,,4180020750,,0004180020750,
13388,3/7/2024 to 3/13/2024,WELCH GRAPE CONCORD JUICE COCKT 64OZ,0004180020199,JUGOS PET,141.0,2024-03-07,,141.0,,,774092.0,,774092.0,,4180020199,,0004180020199,
13411,3/7/2024 to 3/13/2024,WELCH'S WHITE GRAPE 100% JUICE 64 OZ,0004180022700,JUGOS PET,93.0,2024-03-07,,93.0,,,774092.0,,774092.0,,4180022700,,0004180022700,
14703,3/7/2024 to 3/13/2024,SAMAN SELECT SUPREMO ARROZ 3.2 LBS,0773011500039,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
15327,3/7/2024 to 3/13/2024,VITARROZ GRANO LARGO 10 LBS,0007267011012,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
15480,3/7/2024 to 3/13/2024,VITARROZ GRANO LARGO 3 LBS,0007267011034,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
15613,3/7/2024 to 3/13/2024,ABRICOME ARROZ CALAMARE ESPAÑA 8.8OZ,0841086740379,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
15788,3/7/2024 to 3/13/2024,UNCLE BENS WHOLE GRAIN RICE 5 LB,0000548042018,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
16060,3/7/2024 to 3/13/2024,CINTA AZUL ARROZ GRANO MEDIANO 5 LBS,0007177108805,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
16135,3/7/2024 to 3/13/2024,CINTA AZUL GRANO LARGO 3 LBS,0007177112503,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
16628,3/7/2024 to 3/13/2024,CINTA AZUL ARROZ GRANO LARGO 5 LBS,0007177112505,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
16642,3/7/2024 to 3/13/2024,ECONO ARROZ 10/3 LB,0000000002140,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
16745,3/7/2024 to 3/13/2024,CINTA AZUL STD UP PARBOIL 2 LBS,0007177108575,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
16762,3/7/2024 to 3/13/2024,VITARROZ GRANO LARGO 20 LBS,0007267001126,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
17514,3/7/2024 to 3/13/2024,ALESSI SICILIAN BRODO CHICKEN 6 OZ,0007107200375,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
17836,3/7/2024 to 3/13/2024,ALESSI POMODORO RISOTTO 8 OZ,0007107200314,ARROZ,1.0,2024-03-07,,1.0,,,774092.0,,774092.0,,,,,
18000,3/7/2024 to 3/13/2024,ALESSI ARBOTIO FUNGHI 8 OZ,0007107200312,ARROZ,4.0,2024-03-07,,4.0,,,774092.0,,774092.0,,,,,
18130,3/7/2024 to 3/13/2024,VIGO YELLOW RICE 10 OZ,0007107201303,ARROZ,8.0,2024-03-07,,8.0,,,774092.0,,774092.0,,,,,
18196,3/7/2024 to 3/13/2024,ALESSI MILANESE RISOTTO 8 OZ,0007107200310,ARROZ,8.0,2024-03-07,,8.0,,,774092.0,,774092.0,,,,,
18674,3/7/2024 to 3/13/2024,ARROZ BOHIO GRANO MEDIANO 3 LBS,0007639802062,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
19331,3/7/2024 to 3/13/2024,ALESSI ARBORIO RICE 26.4 OZ,0007107200319,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
19436,3/7/2024 to 3/13/2024,ALESSI PASTA FAZOOL SOUP 6 OZ,0007107200370,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
20642,3/7/2024 to 3/13/2024,ECONO ARROZ GRANO LARGO 10/3 LBS,0001257800324,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
20879,3/7/2024 to 3/13/2024,RICO ARROZ GRANO LARGO 10/3 LB,0001257800325,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
21047,3/7/2024 to 3/13/2024,ROVIRA EXPORT SODA CRACKERS 28 OZ,0007298100105,GALLETAS,280.0,2024-03-07,,280.0,,,774092.0,,774092.0,,7298100105,,0007298100105,
21264,3/7/2024 to 3/13/2024,ALESSI PAELLA ITALIAN STYLE 17 OZ,0007107280430,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
21326,3/7/2024 to 3/13/2024,BARILLA READY ELBOW PASTA 8.5 OZ,0007680800684,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
22024,3/7/2024 to 3/13/2024,GOYA PAELLA NEGRA 19 OZ,0004133103599,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
22675,3/7/2024 to 3/13/2024,IBERIA JASMINE ARROZ 5 LBS,0007566912162,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
23051,3/7/2024 to 3/13/2024,ROVIRA EXPORT SODAS BUTTER 30 OZ,0007298100157,GALLETAS,65.0,2024-03-07,,65.0,,,774092.0,,774092.0,,7298100157,,0007298100157,
23431,3/7/2024 to 3/13/2024,GOYA ARROZ GRANO MED BARLEY 32 OZ,0004133105191,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
23529,3/7/2024 to 3/13/2024,EL MAGO ARROZ GRANO MEDIANO 10/3 LBS,0000131000031,ARROZ,3.0,2024-03-07,,3.0,,,774092.0,,774092.0,,,,,
23625,3/7/2024 to 3/13/2024,ECONO ARROZ MEDIANO 10/3 LBS,0000130600006,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
24758,3/7/2024 to 3/13/2024,ABRICOME PAELLA MARINERA 8.8 OZ,0841086740413,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
25283,3/7/2024 to 3/13/2024,BARILLA READY PASTA ELBOWS 7 OZ,0007680801179,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
25289,3/7/2024 to 3/13/2024,BARILLA READY PASTA ROTINI 7 OZ,0007680801178,ARROZ,2.0,2024-03-07,,2.0,,,774092.0,,774092.0,,,,,
25593,3/7/2024 to 3/13/2024,SRI JASMINE RICE 5 LBS,0890611821013,ARROZ,4.0,2024-03-07,,4.0,,,774092.0,,774092.0,,,,,
25780,3/7/2024 to 3/13/2024,BARILLA READY ROTINI PASTA 8.5 OZ,0007680800683,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
25799,3/7/2024 to 3/13/2024,BARILLA READY PASTA PENNE 8.5 OZ,0007680800655,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
25823,3/7/2024 to 3/13/2024,VIGO PAELLA VALENCIANA 8 OZ,0007107201304,ARROZ,37.0,2024-03-07,,37.0,,,774092.0,,774092.0,,,,,
25928,3/7/2024 to 3/13/2024,VIGO PAELLA 19 OZ,0007107201305,ARROZ,16.0,2024-03-07,,16.0,,,774092.0,,774092.0,,7107201305,,0007107201305,
26209,3/7/2024 to 3/13/2024,SRI JASMINE RICE 2 LBS,0890611821016,ARROZ,6.0,2024-03-07,,6.0,,,774092.0,,774092.0,,,,,
28626,3/7/2024 to 3/13/2024,HOLSUM GALLETAS EMP FAMILIAR 10 OZ,0002296100104,GALLETAS,73.0,2024-03-07,,73.0,,,774092.0,,774092.0,,2296100104,,0002296100104,
29045,3/7/2024 to 3/13/2024,OREO SANDWICH SINGLE SERVE 12 PK,0004400004698,GALLETAS,51.0,2024-03-07,,51.0,,,774092.0,,774092.0,,4400004698,,0004400004698,
29132,3/7/2024 to 3/13/2024,LIMON ROSADO U.S.,0020945300000,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
29201,3/7/2024 to 3/13/2024,CHIPS AHOY! SINGLE SERVE 12 CT,0004400005222,GALLETAS,38.0,2024-03-07,,38.0,,,774092.0,,774092.0,,4400005222,,0004400005222,
29919,3/7/2024 to 3/13/2024,ARROZ EMPACADO POR LIBRA,0020933400000,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30244,3/7/2024 to 3/13/2024,UNCLE BENS CHICKEN & WILD RICE 5 OZ,0005480042061,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30248,3/7/2024 to 3/13/2024,UNCLE BENS RICE PILAF 5 OZ,0005480042062,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30265,3/7/2024 to 3/13/2024,UNCLE BEN'S WHOLE GRAIN BROWN 5 LBS,0005480042018,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
30321,3/7/2024 to 3/13/2024,MISTIC ORANGE CARROT 64 OZ,0008939664296,JUGOS PET,761.0,2024-03-07,,761.0,,,774092.0,,774092.0,,8939664296,,0008939664296,
30322,3/7/2024 to 3/13/2024,MISTIC TROPICAL CARROT 64 OZ,0008939664290,JUGOS PET,139.0,2024-03-07,,139.0,,,774092.0,,774092.0,,8939664290,,0008939664290,
30330,3/7/2024 to 3/13/2024,MISTIC MANGO CARROT 64 OZ,0008939664297,JUGOS PET,92.0,2024-03-07,,92.0,,,774092.0,,774092.0,,8939664297,,0008939664297,
30334,3/7/2024 to 3/13/2024,UNCLE BENS WHOLE GRAIN BROWN 8.8 OZ,0005480003177,ARROZ,0.0,2024-03-07,,0.0,,,774092.0,,774092.0,,,,,
