,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,4 Week Average Quantity,4 Week Avg % Change,UPC,Price Change %,modifiedUPC,Dollar Change
208144,3/14/2024 to 3/20/2024,SNICKERS FUN SIZE VARIETY 10.36 OZ,0004000050594,CHOCOLATE (DULCES),6.0,2024-03-14,inf,3.0,inf,,,,
208793,3/7/2024 to 3/13/2024,VALENTINES MIXED 14.52 OZ,0004000055218,CHOCOLATE (DULCES),0.0,2024-03-07,,0.0,,,,,
208860,3/21/2024 to 3/27/2024,MARS CHOCO FRUIT MIX F/SIZE 10.07 OZ,0004000055736,DULCES/AZUCAR,0.0,2024-03-21,,0.0,,,,,
208904,4/25/2024 to 5/1/2024,SNICKERS PEANUT BROWNIE 1.20 OZ,0004000056372,CHOCOLATE (DULCES),9.0,2024-04-25,0.0,9.0,19.999999999999996,,,,
209989,3/7/2024 to 3/13/2024,DFARM LECHUGA ROMANA HIDROPONICA PR,0004023265673,VEGETALES EMPACADOS,0.0,2024-03-07,,0.0,,,,,
210212,3/21/2024 to 3/27/2024,MARZETTI DRESS RANCH FAT FREE .42OZ,0004031800009,BIZCOCHOS/DULCES,0.0,2024-03-21,,0.0,,,,,
210334,4/25/2024 to 5/1/2024,RICO PASTELES DE CERDO 4 OZ,0004036000009,BIZCOCHOS/DULCES,0.0,2024-04-25,,0.0,,,,,
211257,4/25/2024 to 5/1/2024,SABRA ROASTED RED PEPPER HUMMUS 7 OZ,0004082201243,QUESOS,0.0,2024-04-25,,0.0,,,,,
211421,3/21/2024 to 3/27/2024,LAYON MOTHERS DAY ASSORT,0004100000243,SUMINISTROS,0.0,2024-03-21,,0.0,,,,,
211457,5/30/2024 to 6/5/2024,LIPTON ORANGE PEK BLK TEA BAG 48 CT,0004100000286,TE,3.0,2024-05-30,2.0,2.0,33.33333333333333,,,,
211459,3/14/2024 to 3/20/2024,LIPTON TEA BAGS 100 CT,0004100000287,TE,7.0,2024-03-14,0.16666666666666674,6.5,8.333333333333325,,,,
211479,5/2/2024 to 5/8/2024,LIPTON 326 LESS S 2 CT,0004100000326,SOPAS,332.0,2024-05-02,-0.279826464208243,454.5,-2.8846153846153855,4100000326,0.0,0004100000326,0.0
211671,4/11/2024 to 4/17/2024,KNORR ALFREDO BROCCOLI NTS 4.5 OZ,0004100002243,ARROZ,82.0,2024-04-11,0.22388059701492535,62.75,5.907172995780585,4100002243,0.0,0004100002243,0.0
211755,5/23/2024 to 5/29/2024,KNORR PILAF R&S 4.5 OZ,0004100002264,ARROZ,0.0,2024-05-23,,0.0,,,,,
211757,3/7/2024 to 3/13/2024,KNORR CHIKEN R&S 4.5 OZ,0004100002266,ARROZ,9.0,2024-03-07,,9.0,,,,,
211839,4/4/2024 to 4/10/2024,KNORR ASIAN TERIYAKI 4.7 OZ,0004100002802,ARROZ,8.0,2024-04-04,-0.4666666666666667,15.75,1.6129032258064502,,,,
211947,5/2/2024 to 5/8/2024,KNORR CHEESY BACON MACARONI 3.8ZOZ,0004100008248,ARROZ,0.0,2024-05-02,,0.0,,,,,
212900,5/30/2024 to 6/5/2024,JORDANA NAIL TREAT QUICK DRY TOPCOAT,0004106514406,CUIDADO PERSONAL,0.0,2024-05-30,,0.0,,,,,
213688,4/25/2024 to 5/1/2024,JORDANA LIPSTICK RASPBERRY 199,0004106518046,CUIDADO PERSONAL,0.0,2024-04-25,,0.0,,,,,
213828,4/4/2024 to 4/10/2024,JORDANA LIPSTICK TERRA COTTA 199,0004106518109,CUIDADO PERSONAL,0.0,2024-04-04,,0.0,,,,,
214619,3/21/2024 to 3/27/2024,JORDANA LIPS MATTE 5TH  AVENUE,0004106538037,CUIDADO PERSONAL,0.0,2024-03-21,,0.0,,,,,
214775,3/21/2024 to 3/27/2024,JORDANA LIPS MATTE SWEET SORBET,0004106538056,CUIDADO PERSONAL,0.0,2024-03-21,,0.0,,,,,
214851,3/7/2024 to 3/13/2024,JORDANA MODERN MATTE LIPSTICK BLUSH,0004106538502,CUIDADO PERSONAL,0.0,2024-03-07,,0.0,,,,,
215309,3/28/2024 to 4/3/2024,JORDANA EASYLINER LIPS CABERNET,0004106550306,CUIDADO PERSONAL,0.0,2024-03-28,,0.0,,,,,
215731,5/9/2024 to 5/15/2024,JORDANA NEW LIPLINER MULBERRY,0004106551812,CUIDADO PERSONAL,0.0,2024-05-09,,0.0,,,,,
215883,4/11/2024 to 4/17/2024,JORDANA LIP CREAM MATTE ROSE MACAR,0004106552809,CUIDADO PERSONAL,0.0,2024-04-11,,0.0,,,,,
217747,5/16/2024 to 5/22/2024,UNISON GELS 16'S,0004116700611,MEDICINAS OTC,0.0,2024-05-16,,0.0,,,,,
218182,3/28/2024 to 4/3/2024,ALLEGRA ADULT 180MG 24HR GELCAP 8 CT,0004116741220,MEDICINAS OTC,0.0,2024-03-28,,0.0,,,,,
218200,5/2/2024 to 5/8/2024,ALLEGRA TAB 180 ML 24 HR 15 CT,0004116741238,MEDICINAS OTC,1.0,2024-05-02,inf,0.5,100.0,,,,
218212,4/25/2024 to 5/1/2024,ALLEGRA TAB 60 MG 12 HR 12 CT,0004116741312,MEDICINAS OTC,0.0,2024-04-25,,0.0,,,,,
218739,3/14/2024 to 3/20/2024,BELLA VISTA TOMATE PUREE 6 LBS,0004118884280,INSTITUCIONALES,0.0,2024-03-14,,0.0,,,,,
218752,3/14/2024 to 3/20/2024,BELLA VISTA SPAGHETTI SAUCE NSA 6 LB,0004118884288,INSTITUCIONALES,0.0,2024-03-14,,0.0,,,,,
218777,3/7/2024 to 3/13/2024,BELLA VISTA PINK BEANS 6LB,0004118884696,INSTITUCIONALES,1.0,2024-03-07,,1.0,,,,,
219058,5/2/2024 to 5/8/2024,PROGRESSO BREAD CRUMBS ITALIAN 15 OZ,0004119689102,GALLETAS,6.0,2024-05-02,1.0,3.75,0.0,,,,
219137,5/9/2024 to 5/15/2024,ROLAND FANCY ASPARAGUS SPEARS 11.6OZ,0004122441120,VEGETALES ENLATADOS,1.0,2024-05-09,inf,0.25,0.0,,,,
219414,3/7/2024 to 3/13/2024,ROLAND TAHINI SESAME PASTE 16 OZ,0004122470150,PRODUCTOS ORIENTALES,0.0,2024-03-07,,0.0,,,,,
219418,4/4/2024 to 4/10/2024,ROLAND TAHINI SESAME PASTE 16 OZ,0004122470150,PRODUCTOS ORIENTALES,0.0,2024-04-04,,0.0,,,,,
219610,3/14/2024 to 3/20/2024,"ROLAND 10"" PALILLO PINCHOS 100 CT",0004122471520,PRODUCTOS DE COCINA,6.0,2024-03-14,-0.25,7.0,-12.5,,,,
220418,3/28/2024 to 4/3/2024,INTERNATIONAL DELIGHT CINNABON 16 OZ,0004127101992,DERIVADOS DE LECHE Y CREAMERS,0.0,2024-03-28,,0.0,,,,,
220520,3/14/2024 to 3/20/2024,INTERNATIONAL DELIGHT VAINILLA 24 CT,0004127102590,DERIVADOS DE LECHE Y CREAMERS,0.0,2024-03-14,,0.0,,,,,
220799,4/25/2024 to 5/1/2024,WISHBONE HOUSE ITALIAN DRESS 16 OZ,0004132100647,ADEREZOS,0.0,2024-04-25,,0.0,,,,,
220942,4/25/2024 to 5/1/2024,WISH-BONE AVO ROASTED GAR VINA 15 OZ,0004132100714,ADEREZOS,0.0,2024-04-25,,0.0,,,,,
222472,3/28/2024 to 4/3/2024,GOYA ALCAPARRADO 9 1/2 OZ,0004133101419,CONDIMENTOS,7.0,2024-03-28,-0.41666666666666663,10.25,-9.558823529411764,,,,
223796,3/14/2024 to 3/20/2024,GOYA HABICHUELAS BLANCAS A/S 10.5 OZ,0004133102413,GRANOS,204.0,2024-03-14,-0.033175355450236976,207.5,-1.6587677725118488,4133102413,0.0,0004133102413,0.0
223803,5/2/2024 to 5/8/2024,GOYA HABICHUELAS BLANCAS A/S 10.5 OZ,0004133102413,GRANOS,158.0,2024-05-02,0.5643564356435644,180.75,-4.238410596026487,4133102413,0.0,0004133102413,0.0
223852,4/11/2024 to 4/17/2024,GOYA GARBANZOS 10.5 OZ,0004133102423,GRANOS,165.0,2024-04-11,-0.08839779005524862,156.5,-4.134762633996935,4133102423,0.0,0004133102423,0.0
224580,4/11/2024 to 4/17/2024,GOYA ARROZ INTEGRAL ORGANICO 2 LBS,0004133102611,ARROZ,4.0,2024-04-11,-0.33333333333333337,4.25,-15.000000000000002,,,,
224848,3/7/2024 to 3/13/2024,GOYA NECTAR PERA DIET 42 OZ,0004133102701,NECTARES EN LATA/CARTON,12.0,2024-03-07,,12.0,,,,,
224871,5/16/2024 to 5/22/2024,GOYA NECTAR DIETA MELOCOTON 42 OZ,0004133102703,NECTARES EN LATA/CARTON,7.0,2024-05-16,0.0,6.25,-30.555555555555557,,,,
225157,5/16/2024 to 5/22/2024,GOYA NECTAR MANGO 42 OZ,0004133102750,NECTARES EN LATA/CARTON,3.0,2024-05-16,-0.4,2.0,14.28571428571428,,,,
225203,4/4/2024 to 4/10/2024,GOYA NECTAR DIETA MANGO 42 OZ,0004133102769,NECTARES EN LATA/CARTON,0.0,2024-04-04,,0.0,,,,,
225244,4/18/2024 to 4/24/2024,GOYA BEBIDA LECHE DE COCO 11.15 OZ,0004133102776,LECHE,0.0,2024-04-18,,0.0,,,,,
226256,4/4/2024 to 4/10/2024,GOYA SALSA DE ENCHILADA ROJA 8 OZ,0004133103214,PIQUE (SALSA),4.0,2024-04-04,0.33333333333333326,4.75,-5.000000000000004,,,,
226312,5/2/2024 to 5/8/2024,GOYA CUBITO POLVO POLLO 8 CT,0004133103240,CONDIMENTOS,269.0,2024-05-02,0.6812499999999999,230.75,2.6696329254727535,4133103240,0.0,0004133103240,0.0
226320,3/28/2024 to 4/3/2024,GOYA CUBITO POLVO RES 8 CT,0004133103242,CONDIMENTOS,32.0,2024-03-28,-0.37254901960784315,57.0,-12.755102040816324,4133103242,0.0,0004133103242,0.0
226327,5/16/2024 to 5/22/2024,GOYA CUBITO POLVO RES 8 CT,0004133103242,CONDIMENTOS,67.0,2024-05-16,0.15517241379310343,60.75,2.5316455696202445,4133103242,-7.751937984496127,0004133103242,-0.10000000000000009
226367,5/23/2024 to 5/29/2024,GOYA CUBITO POLVO POLLO 20 CT,0004133103246,CONDIMENTOS,197.0,2024-05-23,-0.41543026706231456,275.0,1.6635859519408491,,,,
226372,3/28/2024 to 4/3/2024,GOYA SAZON + CUBITOS ORIGINAL 6 CT,0004133103247,CONDIMENTOS,16.0,2024-03-28,-0.6363636363636364,35.25,-15.399999999999991,4133103247,0.0,0004133103247,0.0
226384,3/21/2024 to 3/27/2024,GOYA SAZON+CUBITOS  CUL/ACHIOTE 6 CT,0004133103248,CONDIMENTOS,41.0,2024-03-21,-0.3492063492063492,55.0,-11.290322580645162,4133103248,0.0,0004133103248,0.0
226399,4/4/2024 to 4/10/2024,GOYA CHORIZO  3.5 OZ,0004133103313,CARNE ENLATADA,18.0,2024-04-04,0.5,11.25,-22.413793103448278,,,,
226406,5/23/2024 to 5/29/2024,GOYA CHORIZO  3.5 OZ,0004133103313,CARNE ENLATADA,11.0,2024-05-23,-0.15384615384615385,13.0,4.0000000000000036,,,,
226411,3/28/2024 to 4/3/2024,GOYA CHORIZOS REDUCED SODIUM 3.5 OZ,0004133103318,CARNE ENLATADA,4.0,2024-03-28,-0.6,6.0,-10.000000000000009,,,,
226610,4/25/2024 to 5/1/2024,GOYA MIXED VEGETABLES L/S 8.25 OZ,0004133103456,VEGETALES ENLATADOS,53.0,2024-04-25,-0.2535211267605634,67.25,10.699588477366252,4133103456,0.0,0004133103456,0.0
