,Date Range,Product Name,SKU,Category,Quantity,Start Date,Quantity Change %,UPC,Price Change %,modifiedUPC
269469,4/11/2024 to 4/17/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,117.0,2024-04-11,-25.47770700636943,7184516100,-2.7118644067796627,0007184516100
269523,4/11/2024 to 4/17/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),110.0,2024-04-11,-16.030534351145043,9626511208,-1.0101010101010055,0009626511208
269986,4/11/2024 to 4/17/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,78.0,2024-04-11,8.333333333333325,7184516163,-2.7118644067796627,0007184516163
270132,4/11/2024 to 4/17/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,78.0,2024-04-11,2.6315789473684292,80327530608,-14.28571428571428,0080327530608
270161,4/11/2024 to 4/17/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,72.0,2024-04-11,46.93877551020409,7184516162,-2.7118644067796627,0007184516162
270425,4/11/2024 to 4/17/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,66.0,2024-04-11,-7.042253521126762,7184516174,-2.7118644067796627,0007184516174
270643,4/11/2024 to 4/17/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,52.0,2024-04-11,-5.454545454545457,4133109046,-0.3861003861003742,0004133109046
270730,4/11/2024 to 4/17/2024,KRESTO CHOCOLATE 16 OZ,0008704177014,CHOCOLATE EN POLVO/BARRA,69.0,2024-04-11,-15.85365853658537,8704177014,-9.140767824497253,0008704177014
271988,4/11/2024 to 4/17/2024,PEPPERIDGE FARM LAYER COCONUT 19.6OZ,0005100007625,BIZCOCHOS/PIES/CHEESECAKE,28.0,2024-04-11,7.692307692307687,5100007625,-3.979460847240046,0005100007625
272085,4/11/2024 to 4/17/2024,AGROSUPER ALAS DE POLLO 10 LBS,0089677500277,CARNES,33.0,2024-04-11,43.47826086956521,89677500277,-1.519081141163392,0089677500277
322476,4/18/2024 to 4/24/2024,SELLO ROJO ARROZ GRANO MEDIANO 3 LB,0001740053540,ARROZ,88.0,2024-04-18,-89.48626045400239,1740053540,5.045871559633031,0001740053540
322541,4/18/2024 to 4/24/2024,SNICKERS 1.86 OZ,0004000042431,CHOCOLATE (DULCES),444.0,2024-04-18,5.213270142180093,4000042431,8.59375,0004000042431
322573,4/18/2024 to 4/24/2024,M & M PEANUT 1.74 OZ,0004000000032,CHOCOLATE (DULCES),417.0,2024-04-18,6.106870229007644,4000000032,8.59375,0004000000032
323022,4/18/2024 to 4/24/2024,KEEBLER CHIPS DELUXE RAINBOW 9.75 OZ,0002780006794,GALLETAS,214.0,2024-04-18,43.6241610738255,2780006794,0.27932960893854997,0002780006794
323191,4/18/2024 to 4/24/2024,FAMOSITOS VARIETY PK 10,0007184516100,BEBIDAS,164.0,2024-04-18,40.17094017094016,7184516100,2.7874564459930307,0007184516100
323245,4/18/2024 to 4/24/2024,KINDER CHOCOLATE 4 CT,0009626511208,CHOCOLATE (DULCES),132.0,2024-04-18,19.999999999999996,9626511208,1.0204081632652962,0009626511208
323571,4/18/2024 to 4/24/2024,QUAKER INSTANT OATMEAL CINNAM 1.41OZ,0080327530608,CEREALES,95.0,2024-04-18,21.794871794871785,80327530608,16.66666666666665,0080327530608
323710,4/18/2024 to 4/24/2024,FAMOSITOS TROP/PUNCH PK10,0007184516163,BEBIDAS,91.0,2024-04-18,16.666666666666675,7184516163,2.7874564459930307,0007184516163
323844,4/18/2024 to 4/24/2024,FAMOSITOS FRUIT PUNCH 10 CT,0007184516162,BEBIDAS,88.0,2024-04-18,22.222222222222232,7184516162,2.7874564459930307,0007184516162
324136,4/18/2024 to 4/24/2024,FAMOSITOS UVA PK10,0007184516174,BEBIDAS,75.0,2024-04-18,13.636363636363647,7184516174,2.7874564459930307,0007184516174
324365,4/18/2024 to 4/24/2024,GOYA PLATANOS MADUROS 11 OZ,0004133109046,TOSTONES/MADUROS,84.0,2024-04-18,61.53846153846154,4133109046,0.3875968992248069,0004133109046
